,TYPE,CHILD_NAME,PARENT_NAME,REFERENCE,BROTHERS,RESULT
0,,TemperatureSensor,,,0,0
1,string,units,TemperatureSensor,/TemperatureSensor/hasTempUnits/TemperatureUnits,5,1
2,float,sensor1value,TemperatureSensor,/TemperatureSensor/hasDecValue,5,1
3,float,sensor2value,TemperatureSensor,/TemperatureSensor/hasDecValue,5,1
4,float,sensor3value,TemperatureSensor,/TemperatureSensor/hasDecValue,5,1
5,float,sensor4value,TemperatureSensor,/TemperatureSensor/hasDecValue,5,1
6,,Temp,,,0,0
7,string,units,Temp,/TemperatureSensor/hasTempUnits/TemperatureUnits,2,1
8,float,outdoorValue,Temp,/OutdoorTemperatureSensor/hasDecValue,2,1
9,,OutdoorTemperatureSensor,,,0,0
10,,GPSSensor,OutdoorTemperatureSensor,,1,0
11,string,LocationUnita,GPSSensor,/GPSSensor/hasLocation/GPSLocation/hasLocUnits/LocationUnits,5,1
12,float,GpsDecValue,GPSSensor,/OutdoorTemperatureSensor/hasGPS/GPSSensor/hasDecValue,5,1
13,string,GpsStrValue,GPSSensor,/OutdoorTemperatureSensor/hasGPS/GPSSensor/hasStrValue,5,1
14,float,longitude,GPSSensor,/GPSSensor/hasLocation/Longitude,5,1
15,float,latitude,GPSSensor,/GPSSensor/hasLocation/latitude,5,1
16,,location,,,0,0
17,,latitude,location,,3,0
18,float,DecValue,latitude,/TemperatureSensor/hasLocation/Latitude/hasDecValue,2,1
19,string,StrValue,latitude,/TemperatureSensor/hasLocation/Latitude/hasStrValue,2,1
20,,longitude,location,,3,0
21,float,DecValue,longitude,/TemperatureSensor/hasLocation/Longitude/hasDecValue,2,1
22,string,StrValue,longitude,/TemperatureSensor/hasLocation/Longitude/hasStrValue,2,1
23,string,GpsUnits,location,/TemperatureSensor/hasLocation/GPSLocation/hasLocUnits/LocationUnits,3,1
24,,temp,,,0,0
25,,location,temp,,3,0
26,float,latitudeValue,location,/TemperatureSensor/hasLocation/Latitude/hasDecValue,2,1
27,float,longitudeValue,location,/TemperatureSensor/hasLocation/Longitude/hasDecValue,2,1
28,string,unit,temp,/TemperatureSensor/hasTempUnits/TemperatureUnits,3,1
29,float,value,temp,/TemperatureSensor/hasDecValue,3,1
30,,tempsensor,,,0,0
31,string,units,tempsensor,/TemperatureSensor/hasTempUnits/TemperatureUnits,5,1
32,float,sensor1value,tempsensor,/TemperatureSensor/hasDecValue,5,1
33,float,sensor2value,tempsensor,/TemperatureSensor/hasDecValue,5,1
34,byte,relay1state,tempsensor,,5,0
35,byte,relay2state,tempsensor,,5,0
36,,TempSensor,,,0,0
37,string,tempunits,TempSensor,/TemperatureSensor/hasTempUnits/TemperatureUnits,16,1
38,float,indoorValue,TempSensor,/IndoorTemperatureSensor/hasDecValue,16,1
39,string,humidity,TempSensor,,16,0
40,float,outdoorValue,TempSensor,/OutdoorTemperatureSensor/hasDecValue,16,1
41,byte,heat,TempSensor,,16,0
42,byte,cool,TempSensor,,16,0
43,byte,fan,TempSensor,,16,0
44,byte,hold,TempSensor,,16,0
45,string,minTemp,TempSensor,,16,0
46,string,maxTemp,TempSensor,,16,0
47,string,minTempY,TempSensor,,16,0
48,string,maxTempY,TempSensor,,16,0
49,byte,heatMode,TempSensor,,16,0
50,byte,fanMode,TempSensor,,16,0
51,byte,filtChng,TempSensor,,16,0
52,byte,mode,TempSensor,,16,0
53,,note,,,0,0
54,,temprzatureSensor,note,,4,0
55,string,from,temprzatureSensor,,5,0
56,string,ssname0,temprzatureSensor,,5,0
57,float,ssvalue0,temprzatureSensor,/TemperatureSensor/hasDecValue,5,1
58,string,ssname1,temprzatureSensor,,5,0
59,float,ssOutdoorValue,temprzatureSensor,/OutdoorTemperatureSensor/hasDecValue,5,1
60,string,alert1,note,,4,0
61,string,alert2,note,,4,0
62,string,alert3,note,,4,0
63,,logger,,,0,0
64,,THB,logger,,3,0
65,,TH,logger,,3,0
66,,T,logger,,3,0
67,,TemperatureSensor,,,0,0
68,string,credit,TemperatureSensor,,11,0
69,anyURI,credit_URL,TemperatureSensor,,11,0
70,,image,TemperatureSensor,,11,0
71,anyURI,url,image,,3,0
72,string,title,image,,3,0
73,anyURI,link,image,,3,0
74,,location,TemperatureSensor,,11,0
75,string,zip,location,,6,0
76,float,latitudeDecValue,location,/TemperatureSensor/hasLocation/Latitude/hasDecValue,6,1
77,float,longitudeDecValue,location,/TemperatureSensor/hasLocation/Longitude/hasDecValue,6,1
78,string,elevation,location,,6,0
79,string,latitudeStrValue,location,/TemperatureSensor/hasLocation/Latitude/hasStrValue,6,1
80,string,longitudeStrValue,location,/TemperatureSensor/hasLocation/Longitude/hasStrValue,6,1
81,string,temperature_string,TemperatureSensor,,11,0
82,float,value_f,TemperatureSensor,/TemperatureSensor/hasDecValue,11,1
83,float,value_c,TemperatureSensor,/TemperatureSensor/hasDecValue,11,1
84,byte,relative_humidity,TemperatureSensor,,11,0
85,string,wind_string,TemperatureSensor,,11,0
86,string,wind_dir,TemperatureSensor,,11,0
87,byte,wind_degrees,TemperatureSensor,,11,0
88,,TempSensor,,,0,0
89,string,units,TempSensor,/TemperatureSensor/hasTempUnits/TemperatureUnits,8,1
90,float,sensor4value,TempSensor,/TemperatureSensor/hasDecValue,8,1
91,float,sensor5value,TempSensor,/TemperatureSensor/hasDecValue,8,1
92,float,sensor6value,TempSensor,/TemperatureSensor/hasDecValue,8,1
93,float,sensor7value,TempSensor,/TemperatureSensor/hasDecValue,8,1
94,byte,relay1state,TempSensor,,8,0
95,byte,relay2state,TempSensor,,8,0
96,byte,relay3state,TempSensor,,8,0
97,,IndoorTemperatureSensor,,,0,0
98,,GPSSensor,IndoorTemperatureSensor,,1,0
99,string,LocationUnits,GPSSensor,/GPSSensor/hasLocation/GPSLocation/hasLocUnits/LocationUnits,5,1
100,float,GpsDecValue,GPSSensor,/IndoorTemperatureSensor/hasGPS/GPSSensor/hasDecValue,5,1
101,string,GpsStrValue,GPSSensor,/IndoorTemperatureSensor/hasGPS/GPSSensor/hasStrValue,5,1
